jobid,submit,start,end,nnodes,duration,max_memory,randomness
77,170564184,170564281,170564287,8,6,26,0.8169926588592871
78,170564460,170564460,170565184,1,724,46,0.9550906709550387
79,170564460,170564460,170565184,1,724,25,0.4605841711491381
80,170564481,170564481,170565926,8,1444,62,0.010433298234590938
81,170564482,170564594,170564879,8,284,79,0.18039537544293716
82,170564580,170564594,170565093,1,498,21,0.8742664145820447
83,170564597,170564598,170565099,1,500,75,0.7247150429997385
84,170564633,170564634,170565135,1,501,20,0.6856813904034912
85,170564641,170564642,170565142,1,499,20,0.08076103611572727
86,170564643,170564645,170565146,1,501,38,0.4263156349754408
87,170564721,170564937,170564949,64,12,57,0.2330874358114069
88,170564771,170564771,170565336,1,565,22,0.06925793468330443
89,170564796,170564804,170565528,1,723,39,0.6166432028874609
90,170564842,170564843,170564846,1,3,26,0.9272983397940306
91,170564849,170564849,170564853,1,3,26,0.07884459102794317
92,170564885,170564890,170570849,1,5959,23,0.431314493331988
93,170564886,170564890,170573533,1,8643,24,0.5676934438540351
94,170564886,170564890,170572606,1,7715,25,0.9067948253819308
95,170564887,170564890,170573533,1,8643,25,0.17349544001798878
96,170564887,170564890,170573486,1,8596,26,0.5333815241040946
97,170564888,170564902,170573545,1,8642,27,0.0735343610907705
98,170564888,170564902,170572716,1,7813,26,0.1329451486476415
99,170564888,170564902,170573545,1,8642,26,0.7280913936040254
100,170564893,170564893,170565617,1,724,140,0.9187014144807806
101,170564900,170564902,170567782,1,2879,470,0.6337124243654253
102,170564973,170565007,170573650,1,8643,179,0.1034979677642176
103,170564973,170564996,170573444,1,8448,178,0.547501519243731
104,170564973,170564996,170573638,1,8642,180,0.35416883075357175
105,170564973,170564996,170572330,1,7334,179,0.6691643679672673
106,170564973,170564996,170573638,1,8642,182,0.22979007267407425
107,170564973,170565003,170572344,1,7341,180,0.07217647987845355
108,170565014,170565181,170565489,32,308,55,0.44336424283001774
109,170565075,170565085,170573728,1,8643,193,0.6992237285595321
110,170565093,170565097,170565598,1,501,21,0.7389148598538203
111,170565096,170565096,170565121,1,25,19,0.5110099386941259
112,170565099,170565109,170565612,1,503,22,0.019567757518877182
113,170565135,170565146,170565648,1,501,20,0.9594155993810745
114,170565142,170565146,170565650,1,503,21,0.8611738647189284
115,170565146,170565158,170565662,1,503,38,0.13352678953889086
116,170565184,170565184,170565909,1,724,32,0.17818143805134612
117,170565184,170565184,170565909,1,724,26,0.30839141465144804
118,170565186,170565186,170565219,1,33,19,0.5193296503380457
119,170565222,170565222,170565256,1,33,19,0.9402472778506631
120,170565265,170565265,170565299,1,34,19,0.9066539713262634
121,170565312,170565585,170568939,32,3354,40,0.5281257777201048
122,170565338,170565338,170566350,1,1012,22,0.4847746991415961
123,170565344,170565502,170565506,16,3,19,0.322316152854654
124,170565344,170565502,170565506,16,4,31,0.6365023997879224
125,170565345,170565514,170565519,16,4,19,0.07553478119128598
126,170565345,170565514,170565521,16,6,31,0.3841578068047239
127,170565368,170565379,170566103,1,723,19,0.12992564365839576
128,170565368,170565379,170566103,1,723,18,0.4422639226486248
129,170565369,170565544,170565552,64,7,89,0.7393606034732769
130,170565369,170565553,170565563,64,9,89,0.06320491146576457
131,170565369,170565565,170565583,64,17,34,0.5280560979665044
132,170565412,170565412,170565419,1,7,30,0.3099931640511887
133,170565444,170565539,170567791,2,2251,123,0.8531514087399221
134,170565455,170565455,170566179,1,723,30,0.16163034341453875
135,170565489,170565576,170565684,1,107,30,0.691541604188278
326,170565489,170565576,170565685,1,108,26,0.10176173369766173
327,170565489,170565576,170565684,1,108,26,0.7648915451387283
