jobid,submit,start,end,nnodes,duration,memory
2960899,166045575,166045575,166048459,2,2882,419
2960900,166045609,166045609,166048492,2,2881,172
2960901,166045836,166045836,166048720,2,2881,355
2960902,166045840,166045840,166048722,2,2880,258
2960903,166046096,166046096,166048978,2,2881,312
2960904,166049211,166049211,166052093,2,2881,188
2960905,166050513,166050513,166053396,2,2881,306
2960906,166050514,166050514,166053396,2,2881,316
2960907,166050553,166050553,166053434,2,2880,271
2960908,166050553,166050553,166053435,2,2880,302
2960909,166050585,166050585,166053468,2,2882,234
2960910,166050585,166050585,166053468,2,2882,244
2960911,166050642,166050642,166053526,2,2883,302
2960912,166050643,166050643,166053525,2,2881,298
2960913,166050703,166050703,166053586,2,2882,282
2960914,166050712,166050712,166053595,2,2882,310
2960915,166050753,166050753,166053635,2,2881,113
2960916,166050797,166050797,166053681,2,2882,485
2960917,166050804,166050804,166053687,2,2882,135
2960918,166050845,166050845,166053727,2,2880,246
2960919,166050862,166050862,166053745,2,2881,116
2960920,166050969,166050969,166053853,2,2881,462
2960921,166050984,166050984,166053866,2,2880,260
2960922,166051008,166051008,166053893,2,2884,320
2960923,166051008,166051008,166053890,2,2881,222
2960924,166051090,166051090,166053975,2,2882,296
2960925,166051094,166051094,166053977,2,2881,465
2960926,166051131,166051131,166054014,2,2881,122
2960927,166051164,166051164,166054046,2,2881,285
2960928,166051194,166051194,166054079,2,2883,313
2960929,166051194,166051194,166054078,2,2883,448
2960930,166051201,166051201,166054084,2,2882,115
2960931,166051201,166051201,166054084,2,2882,286
2960932,166051216,166051216,166054100,2,2882,135
2960933,166051230,166051230,166054115,2,2883,417
2960934,166051258,166051258,166054142,2,2882,397
2960935,166051258,166051258,166054142,2,2882,133
2960936,166051328,166051328,166054212,2,2883,104
2960937,166051328,166051328,166054212,2,2882,460
2960938,166051376,166051376,166054259,2,2881,232
2960939,166051376,166051376,166054259,2,2881,277
2960940,166051382,166051382,166054265,2,2882,296
2960941,166051425,166051425,166054308,2,2882,239
2960942,166051425,166051425,166054309,2,2882,239
2960943,166051430,166051430,166054311,2,2880,302
2960944,166051430,166051430,166054311,2,2880,308
2960945,166051430,166051430,166054311,2,2880,315
2960946,166051430,166051430,166054311,2,2880,269
2960947,166051430,166051430,166054311,2,2880,213
2960948,166051430,166051430,166054311,2,2880,394
2960949,166051430,166051430,166054311,2,2880,301
2960950,166051430,166051430,166054311,2,2880,322
2960951,166051430,166051430,166054311,2,2880,297
2960952,166051430,166051430,166054311,2,2880,116
2960953,166051430,166051430,166054311,2,2880,249
2960954,166051430,166051430,166054311,2,2880,223
2960955,166051430,166051430,166054311,2,2880,120
2960956,166051430,166051430,166054311,2,2880,121
2960957,166051430,166051430,166054311,2,2880,165
2960958,166051430,166051430,166054311,2,2880,278
2960959,166051430,166051430,166054311,2,2880,251
2960960,166051430,166051430,166054311,2,2880,190
2960961,166051440,166051440,166054323,2,2882,492
2960962,166051444,166051444,166054327,2,2881,307
2960963,166051444,166051444,166054327,2,2881,339
2960964,166051444,166051444,166054327,2,2881,106
2960965,166051462,166051462,166054345,2,2882,135
2960966,166051469,166051469,166054351,2,2880,115
2960967,166051469,166051469,166054351,2,2880,325
2960968,166051615,166051615,166054497,2,2881,277
2960969,166051772,166051772,166054656,2,2882,313
2960970,166051772,166051772,166054657,2,2882,338
2960971,166051776,166051776,166054661,2,2883,372
2960972,166073473,166073473,166074331,2,856,31
2960973,166073473,166073473,166074331,2,856,31
2961002,166030424,166030424,166034567,2,4142,36
2961005,166030424,166030424,166034567,2,4142,108
